"filename", "language", "JavaScript", "SCSS", "CSS", "comment", "blank", "total"
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\core\Tabs\VerticalTabs.component.js", "JavaScript", 64, 0, 0, 0, 8, 72
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\core\Text\PeriodView.component.js", "JavaScript", 28, 0, 0, 0, 2, 30
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\hooks\useDecode.js", "JavaScript", 9, 0, 0, 0, 4, 13
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\index.js", "JavaScript", 17, 0, 0, 1, 3, 21
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\Book\Book.api.js", "JavaScript", 32, 0, 0, 0, 6, 38
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\Book\Books.screen.js", "JavaScript", 236, 0, 0, 0, 15, 251
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\Book\components\Book.js", "JavaScript", 41, 0, 0, 0, 2, 43
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\Book\components\BookList.js", "JavaScript", 25, 0, 0, 0, 2, 27
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\DashBoard\DashBoard.screen.js", "JavaScript", 82, 0, 0, 3, 6, 91
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\DashBoard\Metrics.api.js", "JavaScript", 161, 0, 0, 0, 21, 182
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\DashBoard\components\AverageOfCorrectAnswers.js", "JavaScript", 116, 0, 0, 0, 8, 124
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\DashBoard\components\AveragePointsByDifficulty.js", "JavaScript", 95, 0, 0, 0, 8, 103
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\DashBoard\components\AveragePointsByDifficultyInPeriod.js", "JavaScript", 106, 0, 0, 0, 8, 114
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\DashBoard\components\NumberOfActiveSchoolsByPeriod.js", "JavaScript", 88, 0, 0, 0, 6, 94
